Day,Open
303,48.835
304,47.024
305,47.1
306,48.808
307,49.288
308,50.009
309,49.938
310,51.769
311,52.66
312,46.828
313,45.775
314,46.397
315,44.87
316,45.207
317,46.057
318,44.96
319,47.098
320,48.159
321,47.771
322,47.274
323,48.269
324,47.261
325,43.012
326,40.678
327,43.56
328,44.894
329,42.841
330,42.722
331,43.376
332,46.321
333,47.234
334,47.212
335,47.112
336,44.756
337,44.348
338,46.131
339,46.316
340,47.112
341,45.994
342,45.614
343,45.339
344,43.856
345,42.575
346,40.932
347,39.435
348,40.494
349,40.566
350,40.263
351,38.526
352,38.95
353,38.474
354,38.212
355,39.155
356,39.234
357,42.229
358,43.453
359,43.206
360,43.178
361,44.173
362,43.996
363,41.757
364,42.211
365,43.081
366,42.931
367,43.378
368,42.811
369,41.538
370,41.099
371,42.058
372,42.423
373,41.642
374,40.524
375,41.035
376,40.35
377,39.684
378,39.513
379,40.14
380,39.746
381,40.033
382,41.48
383,41.312
384,41.632
385,42.156
386,42.067
387,41.505
388,42.189
389,41.753
390,38.471
391,37.585
392,38.132
393,37.737
394,38.576
395,38.621
396,37.296
397,37.36
398,38.141
399,38.125
400,49.202
401,49.413
402,50.582
403,50.668
404,50.45
405,47.642
406,47.265
407,49.355
408,50.115
409,46.71
410,48.38
411,48.9
412,47.654
413,46.219
414,46.854
415,46.707
416,46.886
417,48.937
418,48.626
419,50.806
420,50.855
421,50.429
422,50.803
423,50.68
424,47.624
425,46.491
426,47.169
427,46.312
428,47.681
429,47.344
430,46.459
431,43.461
432,41.581
433,42.295
434,41.689
435,39.953
436,41.267
437,42.139
438,41.134
439,40.529
440,40.485
441,38.679
442,37.783
443,36.188
444,38.286
445,38.463
446,40.044
447,39.789
448,41.056
449,41.652
450,42.153
451,39.688
452,39.262
453,41.154
454,38.883
455,38.099
456,37.943
457,37.092
458,38.019
459,38.458
460,39.748
461,38.915
462,39.411
463,41.529
464,40.378
465,38.789
466,39.225
467,38.581
468,36.625
469,35.053
470,37.404
471,37.178
472,37.329
473,37.571
474,38.949
475,39.693
476,39.538
477,39.168
478,37.327
479,37.002
480,37.859
481,38.207
482,37.689
483,36.823
484,37.246
485,35.874
486,36.564
487,35.841
488,35.476
489,37.065
490,37.799
491,37.553
492,37.268
493,36.536
494,35.959
495,37.006
496,38.006
497,39.432
498,39.77
499,40.291
500,37.748
501,39.696
502,36.573
503,36.043
504,35.503
505,34.06
506,30.274
507,31.016
508,28.937
509,29.031
510,29.286
511,30.099
512,31.304
513,29.862
514,30.424
515,28.72
516,30.212
517,32.452
518,31.368
519,33.112
520,33.452
521,32.121
522,31.345
523,31.063
524,29.321
525,29.132
526,28.648
527,28.969
528,29.284
529,29.474
530,30.184
531,29.653
532,29.133
533,29.482
534,29.897
535,31.324
536,31.139
537,29.251
538,28.953
539,29.446
540,29.171
541,28.782
542,29.871
543,29.568
544,29.352
545,30.321
546,29.987
547,28.854
548,30.432
549,31.726
550,37.748
551,39.696
552,36.573
553,36.043
554,35.503
555,34.06
556,30.274
557,31.016
558,28.937
559,29.031
560,29.286
561,30.099
562,31.304
563,29.862
564,30.424
565,28.72
